,Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
26,Henriettevej 6,5000 Odense C,1773950.0,2025,90,4,1,Familiehandel
27,Klokkens Kvarter 71,"Holluf Pile, 5220 Odense SØ",1547850.0,2025,106,5,2,Familiehandel
28,Fædresmindevej 16,"Sanderum, 5250 Odense SV",2357600.0,2025,151,5,2,Familiehandel
29,Villestofte Skovgyde 136,"Villestofte, 5210 Odense NV",4000000.0,2025,191,5,2,Familiehandel
30,Mariavænget 15,"Hjallese, 5260 Odense S",1159600.0,2025,162,5,2,Familiehandel
31,Bødtchersvej 17,5230 Odense M,3225000.0,2025,159,6,3,Familiehandel
32,Slagenvej 4,"Aasum, 5240 Odense NØ",843200.0,2025,135,4,2,Familiehandel
33,Over-Holluf-Toften 13,"Over Holluf, 5220 Odense SØ",1250000.0,2025,131,6,1,Familiehandel
34,Grynmøllen 27,"Hjallese, 5260 Odense S",1190000.0,2025,103,5,1,Familiehandel
35,Ejlstrupvej 185,"Ejlstrup, 5200 Odense V",881200.0,2025,128,5,2,Familiehandel
36,Daltoften 107,"Agedrup, 5320 Agedrup",814292.0,2025,100,4,1,Familiehandel
37,"Åløkke Allé 29, st.",5000 Odense C,1500000.0,2025,63,2,1,Familiehandel
38,"Åløkke Allé 29, 1.",5000 Odense C,1500000.0,2025,63,2,1,Familiehandel
39,Lungstedvangen 48,"Bellinge, 5250 Odense SV",850000.0,2025,156,4,1,Familiehandel
40,Hestehøjvej 25,"Højby, 5260 Odense S",1567000.0,2025,110,4,2,Familiehandel
41,Klokkens Kvarter 56,"Holluf Pile, 5220 Odense SØ",975000.0,2024,91,4,1,Familiehandel
42,Brittavej 1,"Lumby, 5270 Odense N",800000.0,2024,102,4,1,Familiehandel
43,"Bjergegade 26C, 1.",5000 Odense C,1600000.0,2024,82,3,1,Familiehandel
44,"Store Glasvej 28, 1.",5000 Odense C,1311200.0,2024,61,3,1,Familiehandel
45,Store Klaus 75,"Næsby, 5270 Odense N",731500.0,2024,200,7,3,Familiehandel
46,Skovhaven 39,"Bullerup, 5320 Agedrup",1278327.0,2024,206,7,2,Familiehandel
47,Bådvej 26,5240 Odense NØ,1149000.0,2024,182,4,2,Familiehandel
48,Steinsgade 15L,5000 Odense C,1168750.0,2024,63,3,1,Familiehandel
49,Bækholmen 53,"Seden, 5240 Odense NØ",1600000.0,2024,110,4,2,Familiehandel
50,Fredemarksvej 88,"Vester Kærby, 5320 Agedrup",1487500.0,2024,150,4,2,Familiehandel
51,Fuglebakken 172,"Snestrup, 5210 Odense NV",1647300.0,2024,127,4,2,Familiehandel
52,"Odinsgade 42, 1. tv.",5000 Odense C,2000000.0,2024,66,2,1,Familiehandel
53,Egelykkevej 17,"Hjallese, 5260 Odense S",1533600.0,2024,112,4,2,Familiehandel
54,"Holsedore 18B, 1. 2.",5000 Odense C,1691400.0,2024,82,3,1,Familiehandel
55,Plovgårdsvej 41,"Bellinge, 5250 Odense SV",2055000.0,2024,150,4,2,Familiehandel
56,Slotsbakkevænget 13,5000 Odense C,1700000.0,2024,99,4,1,Familiehandel
57,"Hans Tausens Gade 20, 2. th.",5000 Odense C,1568200.0,2024,86,2,1,Familiehandel
58,Bækholmen 14,"Seden, 5240 Odense NØ",750000.0,2024,99,4,1,Familiehandel
59,"Christiansgade 11, 2. tv.",5000 Odense C,950000.0,2024,98,3,1,Familiehandel
60,Brørupvænget 18,"Bolbro, 5200 Odense V",623200.0,2024,147,5,2,Familiehandel
61,"Schacksgade 19, 1. tv.",5000 Odense C,985000.0,2024,52,2,1,Familiehandel
62,Rødegårdsvej 187,5230 Odense M,2200000.0,2024,94,4,1,Familiehandel
63,Pilegårdvænget 2,"Seden, 5240 Odense NØ",1300000.0,2024,110,3,1,Familiehandel
64,Østrupvej 44,"Tarup, 5210 Odense NV",1472800.0,2024,141,6,2,Familiehandel
65,"Middelfartvej 137, 1. th.","Bolbro, 5200 Odense V",960000.0,2024,70,3,1,Familiehandel
66,Højbyvej 61,"Allerup, 5220 Odense SØ",452000.0,2024,100,4,1,Familiehandel
67,Elleholmvej 33,"Ravnebjerg, 5250 Odense SV",600000.0,2024,249,9,3,Familiehandel
68,"Lotusvej 16, 1. th.","Sanderum, 5250 Odense SV",800000.0,2024,91,4,1,Familiehandel
69,Kærnehøjvej 78,"Højby, 5260 Odense S",1139566.0,2024,137,4,1,Familiehandel
70,Ved Vejgården 33,"Kirkendrup, 5270 Odense N",900000.0,2024,110,4,1,Familiehandel
71,"Teisensvej 2A, 1. tv.",5000 Odense C,700000.0,2024,71,2,1,Familiehandel
72,Bindekildevej 80,"Brændekilde, 5250 Odense SV",6500000.0,2024,154,5,2,Familiehandel
73,"Nansensgade 11, 2. th.",5000 Odense C,1350000.0,2024,57,2,1,Familiehandel
74,Vandmøllevej 30,"Davinde, 5220 Odense SØ",909000.0,2024,155,4,2,Familiehandel
75,"Promenadebyen 2, 1. 4.",5000 Odense C,3588000.0,2024,138,3,1,Familiehandel
76,Skt. Hans Gade 41,5000 Odense C,1200000.0,2024,117,4,2,Familiehandel
77,"Skt. Hans Gade 2, 2. th.",5000 Odense C,890000.0,2024,50,1,1,Familiehandel
78,Sanderumvej 27,"Sanderum, 5250 Odense SV",1888888.0,2024,118,4,2,Familiehandel
79,"Østre Stationsvej 42, st. th.",5000 Odense C,493000.0,2024,62,3,2,Familiehandel
80,"Lollandsgade 33, 1.",5000 Odense C,1742500.0,2024,80,2,1,Familiehandel
81,"Lollandsgade 33, st.",5000 Odense C,1742500.0,2024,80,3,1,Familiehandel
82,Karetmagerstræde 6,"Aasum, 5240 Odense NØ",1293683.0,2024,170,6,2,Familiehandel
83,"Sdr. Boulevard 194, 2. th.",5000 Odense C,527000.0,2024,48,2,1,Familiehandel
84,Højmarken 20,"Vejrup, 5491 Blommenslyst",872500.0,2024,175,6,2,Familiehandel
85,Humlebivænget 26,"Hjallese, 5260 Odense S",1175000.0,2024,176,4,2,Familiehandel
86,Godthåbsgade 15A,5000 Odense C,892500.0,2024,55,2,1,Familiehandel
87,Bispeengen 39,"Anderup, 5270 Odense N",1534755.0,2024,148,5,2,Familiehandel
88,Skjoldborgsvej 15,"Næsby, 5270 Odense N",1609750.0,2024,175,6,2,Familiehandel
89,Ildfuglevænget 116,"Hjallese, 5260 Odense S",1295000.0,2024,75,3,1,Familiehandel
90,Duedalen 34,5240 Odense NØ,928000.0,2024,100,4,1,Familiehandel
91,"Oppermannsvej 8, 1. tv.",5230 Odense M,370000.0,2024,75,3,1,Familiehandel
92,Hammergyden 21,"Stige, 5270 Odense N",1003200.0,2024,84,3,2,Familiehandel
93,Syvhøjevej 85,"Højby, 5260 Odense S",1361700.0,2024,115,3,1,Familiehandel
94,Damhusvej 12,5000 Odense C,1575000.0,2024,133,4,2,Familiehandel
95,Musvågevej 5A,"Snestrup, 5210 Odense NV",720000.0,2024,55,2,1,Familiehandel
96,"Buchwaldsgade 11, 3.",5000 Odense C,1800000.0,2024,109,3,1,Familiehandel
97,Varpytvej 75,"Birkum, 5220 Odense SØ",1325000.0,2024,174,6,2,Familiehandel
98,Colbjørnsensvej 10,5000 Odense C,3692500.0,2024,180,6,2,Familiehandel
99,Strand Allé 23,"Seden, 5240 Odense NØ",741000.0,2024,110,6,1,Familiehandel
100,Saxovej 62,"Højstrup, 5210 Odense NV",1395000.0,2024,90,4,1,Familiehandel
101,Fredskovvej 3,"Allesø, 5270 Odense N",715000.0,2024,159,7,2,Familiehandel
102,Utzons Allé 74,5240 Odense NØ,1897500.0,2024,181,6,2,Familiehandel
103,Rullekrovej 35,"Søhus, 5270 Odense N",1569000.0,2024,85,4,1,Familiehandel
104,H.P. Simonsens Allé 45,"Sanderum, 5250 Odense SV",1625000.0,2024,124,5,1,Familiehandel
105,Skippervej 18,"Stige, 5270 Odense N",850000.0,2024,76,3,2,Familiehandel
106,Langegade 31,5000 Odense C,987000.0,2024,73,3,1,Familiehandel
107,Søparken 64,"Hjallese, 5260 Odense S",1363399.0,2024,160,5,2,Familiehandel
108,Bergthorasvej 12,"Tarup, 5210 Odense NV",991500.0,2024,100,4,2,Familiehandel
109,Væbnerhatten 106,"Tornbjerg, 5220 Odense SØ",1428000.0,2024,134,4,2,Familiehandel
110,Bullerupvej 41,"Seden, 5240 Odense NØ",1100000.0,2024,127,4,1,Familiehandel
111,Groløkkevænget 71,"Søhus, 5270 Odense N",1300000.0,2024,100,5,2,Familiehandel
112,Ravnebjerggyden 197,"Brændekilde, 5250 Odense SV",1105000.0,2024,180,9,1,Familiehandel
113,Næsbyhave 35,"Næsby, 5270 Odense N",150000.0,2024,97,5,1,Familiehandel
114,"Floravænget 2, 2.","Dalum, 5250 Odense SV",765000.0,2024,61,2,1,Familiehandel
115,"Ny Vestergade 2A, 1. tv.",5000 Odense C,6748848.0,2024,64,2,1,Familiehandel
116,"Vestergade 102, 1. th.",5000 Odense C,6748848.0,2024,102,3,1,Familiehandel
117,"Vestergade 102, 1. mf.",5000 Odense C,6748848.0,2024,148,3,1,Familiehandel
118,"Ny Vestergade 2A, 2. tv.",5000 Odense C,6748848.0,2024,51,2,1,Familiehandel
119,"Ny Vestergade 2A, st.",5000 Odense C,6748848.0,2024,67,2,1,Familiehandel
120,"Vestergade 102, 1. tv.",5000 Odense C,6748848.0,2024,54,2,1,Familiehandel
121,"Ny Vestergade 2B, 1. tv.",5000 Odense C,6748848.0,2024,102,3,1,Familiehandel
122,"Ny Vestergade 2B, 1. th.",5000 Odense C,6748848.0,2024,100,3,1,Familiehandel
123,"Ny Vestergade 2A, 2. th.",5000 Odense C,6748848.0,2024,51,2,1,Familiehandel
124,Ny Vestergade 2D,5000 Odense C,6748848.0,2024,56,2,1,Familiehandel
125,"Ny Vestergade 2A, 1. th.",5000 Odense C,6748848.0,2024,52,2,1,Familiehandel
126,Bakkeskråningen 41,"Næsby, 5270 Odense N",1250000.0,2024,120,4,2,Familiehandel
127,Søballevej 79,"Næsbyhoved-Broby, 5270 Odense N",4795000.0,2024,306,9,2,Familiehandel
128,Thomas Overskous Vej 28,5000 Odense C,1169940.0,2024,150,7,2,Familiehandel
129,"Floravænget 25, 2. th.","Dalum, 5250 Odense SV",1400000.0,2024,79,3,1,Familiehandel
130,Tyrsbjergvej 80,"Villestofte, 5210 Odense NV",1460000.0,2024,147,6,2,Familiehandel
131,Hesbjergvej 10,"Hesbjerg, 5491 Blommenslyst",695000.0,2024,105,4,1,Familiehandel
132,"Toftevej 18F, st.",5220 Odense SØ,875000.0,2024,115,4,1,Familiehandel
133,Goldschmidtsvænget 11,5230 Odense M,5250000.0,2024,180,7,2,Familiehandel
134,Næsby Skovvænge 31,"Næsby, 5270 Odense N",1279200.0,2024,85,4,2,Familiehandel
135,Skovhaven 55,"Bullerup, 5320 Agedrup",925200.0,2024,206,7,2,Familiehandel
136,"Poppelvej 29, st. tv.",5230 Odense M,2960000.0,2024,54,2,1,Familiehandel
137,"Poppelvej 29, 1.",5230 Odense M,2960000.0,2024,108,4,1,Familiehandel
138,"Poppelvej 29, st. th.",5230 Odense M,2960000.0,2024,54,2,1,Familiehandel
139,Tommerupvej 220,"Ernebjerg, 5491 Blommenslyst",395250.0,2024,154,5,2,Familiehandel
140,Niels Bjerres Vænge 14,5220 Odense SØ,1107600.0,2024,92,4,1,Familiehandel
141,Mindelundsvej 36,"Seden, 5240 Odense NØ",1200000.0,2024,84,4,1,Familiehandel
142,Fangelvej 82,"Fangel, 5260 Odense S",775000.0,2024,167,6,2,Familiehandel
143,Sanderumvej 272,"Ravnebjerg, 5250 Odense SV",454285.0,2024,180,6,2,Familiehandel
144,Højvang 57,"Næsby, 5270 Odense N",840000.0,2024,74,3,1,Familiehandel
145,Ugletoften 191,"Højby, 5260 Odense S",657500.0,2024,63,3,1,Familiehandel
146,H.C. Andersens Gade 25,5000 Odense C,2500000.0,2024,193,8,3,Familiehandel
147,Baumgartensvej 50A,5000 Odense C,1800000.0,2024,94,3,2,Familiehandel
148,Sadolinsgade 36,5230 Odense M,3750000.0,2024,173,7,3,Familiehandel
149,Bakkeskråningen 12,"Næsby, 5270 Odense N",781254.0,2024,132,5,2,Familiehandel
150,Højstrupvangen 42,"Bolbro, 5200 Odense V",1125000.0,2024,61,2,1,Familiehandel
151,"Filosofgangen 84, 1. tv.",5000 Odense C,892500.0,2024,99,3,1,Familiehandel
152,Anderupvænget 49,"Anderup, 5270 Odense N",910000.0,2024,172,6,2,Familiehandel
153,Ubberudvej 55,"Ubberud, 5491 Blommenslyst",537625.0,2024,108,5,2,Familiehandel
154,Gerthasminde 52,5000 Odense C,2314400.0,2024,109,5,1,Familiehandel
155,Egebakken 2A,"Skt Klemens, 5260 Odense S",1700000.0,2024,196,6,2,Familiehandel
156,Kanefarten 45,"Lumby, 5270 Odense N",877603.0,2024,130,4,2,Familiehandel
157,Glamsbjergvænget 12,5230 Odense M,1800000.0,2024,106,4,1,Familiehandel
158,Duedalen 28,5240 Odense NØ,964750.0,2024,100,4,1,Familiehandel
159,Æbeløvænget 10,5000 Odense C,850000.0,2024,87,4,1,Familiehandel
160,Virkensbjerget 54,"Sanderum, 5250 Odense SV",1400000.0,2024,110,4,1,Familiehandel
161,Faaborgvej 252A,"Dyrup, 5250 Odense SV",2000000.0,2024,119,4,1,Familiehandel
162,Ahornvej 18,"Dyrup, 5250 Odense SV",2200000.0,2024,108,4,1,Familiehandel
163,Otte Ruds Vej 144,5220 Odense SØ,1150000.0,2024,68,3,1,Familiehandel
164,Engdraget 8,"Næsby, 5270 Odense N",1000000.0,2024,103,3,1,Familiehandel
165,Engblommevej 1,"Bellinge, 5250 Odense SV",900000.0,2024,121,4,1,Familiehandel
166,Bispeengen 69,"Anderup, 5270 Odense N",920000.0,2024,168,4,2,Familiehandel
167,Askvej 2,"Dyrup, 5250 Odense SV",1400000.0,2024,143,5,2,Familiehandel
168,Dybdevej 36,"Bolbro, 5200 Odense V",2249100.0,2024,111,5,2,Familiehandel
169,"Læssøegade 14, 3. th.",5000 Odense C,815000.0,2024,90,3,1,Familiehandel
170,"Falen 8, 2. th.",5000 Odense C,1970000.0,2024,64,2,1,Familiehandel
171,Varpytvej 65,"Birkum, 5220 Odense SØ",2800000.0,2024,156,4,2,Familiehandel
172,Skovbakken 50,"Skt Klemens, 5260 Odense S",300000.0,2024,159,5,2,Familiehandel
173,Skovhaven 124,"Bullerup, 5320 Agedrup",1600000.0,2024,117,4,2,Familiehandel
174,"Thuresensgade 1, 2. tv.",5000 Odense C,1300000.0,2024,62,2,1,Familiehandel
175,Lille Tornbjerg Vej 77,"Tornbjerg, 5220 Odense SØ",1545000.0,2024,105,4,1,Familiehandel
176,Otte Ruds Vej 13,5220 Odense SØ,1220000.0,2024,60,3,1,Familiehandel
177,Lodsvej 28,"Stige, 5270 Odense N",878400.0,2024,160,4,2,Familiehandel
178,"Æbleparken 48, 1.","Søhus, 5270 Odense N",650000.0,2024,61,2,1,Familiehandel
179,Præstevej 95,"Korup, 5210 Odense NV",703914.0,2024,111,5,1,Familiehandel
180,Grønnegyden 148,"Lumby, 5270 Odense N",1294160.0,2024,215,6,2,Familiehandel
181,Solbærvej 14,"Hjallese, 5260 Odense S",1078500.0,2024,96,4,1,Familiehandel
182,Paarupvej 16A,"Snestrup, 5210 Odense NV",1466836.0,2024,90,3,1,Familiehandel
183,Niels Juels Allé 102,"Sanderum, 5250 Odense SV",1550000.0,2024,127,6,2,Familiehandel
184,Gelskovvænget 9,5230 Odense M,1750000.0,2024,82,4,1,Familiehandel
185,Klaus Berntsens Vej 256,"Højby, 5260 Odense S",1750000.0,2024,177,4,2,Familiehandel
186,Allingtonvænget 22,"Søhus, 5270 Odense N",840000.0,2024,55,2,1,Familiehandel
187,Borchsvej 10,"Bolbro, 5200 Odense V",746725.0,2024,96,3,2,Familiehandel
188,Svalevænget 5,"Snestrup, 5210 Odense NV",1000000.0,2024,109,4,1,Familiehandel
189,Bødtchersvej 22,5230 Odense M,3200000.0,2024,121,5,1,Familiehandel
190,"Rosenørnsvej 41, 1. tv.",5230 Odense M,700000.0,2024,61,2,1,Familiehandel
191,Njalsvej 28,"Højstrup, 5210 Odense NV",760000.0,2024,87,4,1,Familiehandel
192,Pilevangen 9,"Tarup, 5210 Odense NV",3326273.0,2024,120,5,1,Familiehandel
193,Utzons Allé 58,5240 Odense NØ,727500.0,2024,160,5,2,Familiehandel
194,Munkemaen 182,"Anderup, 5270 Odense N",1800000.0,2024,77,3,1,Familiehandel
195,Pomosavej 33,"Søhus, 5270 Odense N",2100000.0,2024,140,5,2,Familiehandel
196,Bogensevej 406,"Næsbyhoved-Broby, 5270 Odense N",650000.0,2024,223,7,2,Familiehandel
197,Torpvej 29,"Hjallese, 5260 Odense S",1232500.0,2024,126,5,2,Familiehandel
198,Rugårdsvej 258,"Tarup, 5210 Odense NV",665000.0,2024,131,5,2,Familiehandel
199,Kildebakken 8,"Skt Klemens, 5260 Odense S",1000000.0,2024,127,4,1,Familiehandel
200,Saxovej 282,"Højstrup, 5210 Odense NV",800000.0,2024,84,3,1,Familiehandel
201,Lønnevænget 8,"Stige, 5270 Odense N",825000.0,2024,95,4,1,Familiehandel
202,Hybenvej 71,"Hjallese, 5260 Odense S",2000000.0,2024,130,5,2,Familiehandel
203,Musvågevej 46,"Snestrup, 5210 Odense NV",2300000.0,2024,132,4,1,Familiehandel
204,Dragebakken 22,"Sanderum, 5250 Odense SV",1217000.0,2024,156,4,2,Familiehandel
205,Sukkeræble Have 7,"Villestofte, 5210 Odense NV",2747500.0,2024,277,6,3,Familiehandel
206,Vægtens Kvarter 247,"Holluf Pile, 5220 Odense SØ",775000.0,2024,75,3,1,Familiehandel
207,Nørrevoldgade 27,5000 Odense C,3275000.0,2024,128,6,2,Familiehandel
208,Duedalen 6,5240 Odense NØ,880000.0,2024,100,4,1,Familiehandel
209,Havtornvænget 3,"Korup, 5210 Odense NV",701250.0,2024,173,5,1,Familiehandel
210,Guldrankevej 132,5200 Odense V,961381.0,2024,114,4,2,Familiehandel
211,Slagkrogen 13,5220 Odense SØ,900000.0,2024,166,5,2,Familiehandel
212,Rosenholmvænget 20,"Søhus, 5270 Odense N",645500.0,2024,85,2,1,Familiehandel
213,Bekkasinvej 36,"Snestrup, 5210 Odense NV",800500.0,2024,86,3,1,Familiehandel
214,"Døckerslundsvej 2D, 3. tv.",5000 Odense C,867000.0,2024,58,2,1,Familiehandel
215,Fangelvej 80,"Fangel, 5260 Odense S",1125000.0,2024,191,5,2,Familiehandel
216,Stenløsevej 143,"Hjallese, 5260 Odense S",860000.0,2024,111,5,1,Familiehandel
217,Målengen 31,"Thorup, 5220 Odense SØ",703800.0,2024,131,4,2,Familiehandel
218,Tranehøjen 250,"Dyrup, 5250 Odense SV",967575.0,2024,101,3,1,Familiehandel
219,Møllevej 16,"Skt Klemens, 5260 Odense S",693189.0,2024,129,4,1,Familiehandel
220,Tyrsbjergvej 90,"Korup, 5210 Odense NV",1212500.0,2024,157,5,2,Familiehandel
222,Ildfuglevænget 97A,"Hjallese, 5260 Odense S",2000000.0,2024,139,4,1,Familiehandel
223,Gyldenhøjen 38,"Stenløse, 5260 Odense S",3400000.0,2024,146,5,2,Familiehandel
224,Lettebækvej 35,"Bellinge, 5250 Odense SV",750000.0,2024,83,4,1,Familiehandel
225,Mølledammen 10B,"Bullerup, 5320 Agedrup",550000.0,2024,118,3,2,Familiehandel
226,Lotusvej 67,"Sanderum, 5250 Odense SV",1300000.0,2024,85,4,1,Familiehandel
227,"Munkerisvej 59, 2. th.",5230 Odense M,935000.0,2023,105,4,1,Familiehandel
228,"Gyldenløvesgade 13, 2. th.",5000 Odense C,1150000.0,2023,65,2,1,Familiehandel
229,Vårlyngen 47,"Stige, 5270 Odense N",850000.0,2023,120,4,2,Familiehandel
230,Colbjørnsensvej 9,5000 Odense C,2500000.0,2023,192,6,2,Familiehandel
231,Nr. Lyndelse Vej 18,"Højby, 5260 Odense S",1233000.0,2023,160,5,1,Familiehandel
232,Tjørnevej 4,5220 Odense SØ,1300000.0,2023,141,6,2,Familiehandel
233,"Billesgade 10, st. th.",5000 Odense C,1500000.0,2023,63,2,1,Familiehandel
234,Hejrevej 20,5000 Odense C,2250000.0,2023,101,3,1,Familiehandel
235,Herluf Trolles Vej 291B,5220 Odense SØ,945000.0,2023,85,3,1,Familiehandel
236,"Schacksgade 3, 2. th.",5000 Odense C,1070000.0,2023,66,3,1,Familiehandel
237,Moltkesvej 7,5000 Odense C,572909.0,2023,149,5,2,Familiehandel
238,"Christiansgade 72, 2. th.",5000 Odense C,1350000.0,2023,60,3,1,Familiehandel
239,"Poppelvej 24, st.",5230 Odense M,1062500.0,2023,105,3,1,Familiehandel
240,"Lotusvej 3, st. th.","Sanderum, 5250 Odense SV",400000.0,2023,64,2,1,Familiehandel
241,Morelvej 111,"Sanderum, 5250 Odense SV",1955000.0,2023,164,7,2,Familiehandel
242,Flintagerløkken 43,"Bellinge, 5250 Odense SV",1065000.0,2023,106,4,2,Familiehandel
243,Langelinie 34C,5230 Odense M,3612500.0,2023,228,6,3,Familiehandel
244,Gammel Højmevej 235,"Bellinge, 5250 Odense SV",22186000.0,2023,250,8,1,Familiehandel
245,"Kragsbjergvej 15, 1.",5000 Odense C,739500.0,2023,95,3,1,Familiehandel
246,Hyacintvænget 5,"Ejlstrup, 5200 Odense V",949950.0,2023,90,3,1,Familiehandel
247,"Christiansgade 90, 4. tv.",5000 Odense C,940000.0,2023,62,2,1,Familiehandel
248,"Oppermannsvej 23, 1. tv.",5230 Odense M,825000.0,2023,71,2,1,Familiehandel
249,Herluf Trolles Vej 445,5220 Odense SØ,1625000.0,2023,163,4,2,Familiehandel
250,Kirkebakken 19,"Bellinge, 5250 Odense SV",1117000.0,2023,188,7,2,Familiehandel
251,"Gyldenløvesgade 8, 2. tv.",5000 Odense C,744000.0,2023,67,2,1,Familiehandel
252,Vestermarksvej 19,"Fangel, 5260 Odense S",1827500.0,2023,136,4,2,Familiehandel
253,Saxovej 109,"Tarup, 5210 Odense NV",1210000.0,2023,87,3,1,Familiehandel
254,"Dagmargade 7, st. tv.",5000 Odense C,640000.0,2023,62,2,1,Familiehandel
255,Sparretornvej 24,5230 Odense M,825000.0,2023,139,4,2,Familiehandel
256,Smallemålet 13,"Sanderum, 5250 Odense SV",2000000.0,2023,127,5,2,Familiehandel
257,"Roersvej 11, 3. tv.",5000 Odense C,780000.0,2023,74,3,1,Familiehandel
258,Østparken 14,"Fraugde, 5220 Odense SØ",957000.0,2023,97,5,1,Familiehandel
259,"Gormsgade 4, st.",5000 Odense C,1163000.0,2023,72,2,1,Familiehandel
260,Enggårdsvej 24,"Anderup, 5270 Odense N",816000.0,2023,96,3,1,Familiehandel
261,Giersingvænget 35,5220 Odense SØ,1200000.0,2023,108,4,1,Familiehandel
262,"Guldbergsvej 8, 1. tv.",5000 Odense C,1305000.0,2023,104,4,1,Familiehandel
263,"Lotusvej 2, 2. tv.","Sanderum, 5250 Odense SV",1600000.0,2023,91,3,1,Familiehandel
264,Gudrunvænget 7,"Næsby, 5270 Odense N",1500000.0,2023,135,5,2,Familiehandel
265,Hibiscusvej 80,5200 Odense V,1700000.0,2023,65,2,1,Familiehandel
266,Faaborgvej 61,"Dalum, 5250 Odense SV",1360000.0,2023,172,6,3,Familiehandel
267,Steinsgade 15H,5000 Odense C,1550000.0,2023,63,3,1,Familiehandel
268,Rådyrløkken 82,"Slukefter, 5210 Odense NV",815500.0,2023,135,4,2,Familiehandel
269,"Holmehusvej 89, 2. th.",5000 Odense C,620000.0,2023,66,2,1,Familiehandel
270,Mejlholmgade 61,5000 Odense C,1020000.0,2023,75,3,1,Familiehandel
271,Chr. Lehns Vænge 8G,"Næsbyhoved-Broby, 5270 Odense N",607500.0,2023,85,4,1,Familiehandel
272,"Buchwaldsgade 61C, 1. th.",5000 Odense C,520000.0,2023,58,2,1,Familiehandel
273,Ekkodalen 8,"Næsby, 5270 Odense N",1147500.0,2023,110,4,1,Familiehandel
274,Glentevej 26,5000 Odense C,850000.0,2023,178,6,2,Familiehandel
275,"Gyldenløvesgade 2B, 2. th.",5000 Odense C,466500.0,2023,56,2,1,Familiehandel
276,Flittig Lise Vej 82,"Bellinge, 5250 Odense SV",1375000.0,2023,185,7,2,Familiehandel
277,"Thuresensgade 33D, 3. th.",5000 Odense C,524000.0,2023,67,2,1,Familiehandel
278,Allerup Bygade 44,"Allerup, 5220 Odense SØ",4600000.0,2023,259,7,2,Familiehandel
279,Lungstedløkken 43,"Bellinge, 5250 Odense SV",1911616.0,2023,148,5,2,Familiehandel
280,Strandvejen 45,"Seden, 5240 Odense NØ",1312000.0,2023,101,5,1,Familiehandel
281,Nyvangsvej 13,5000 Odense C,1530000.0,2023,146,5,1,Familiehandel
282,"Hjallesevej 74, 1.",5230 Odense M,950000.0,2023,96,3,1,Familiehandel
283,"Hjallesevej 74, st.",5230 Odense M,1150000.0,2023,106,3,1,Familiehandel
284,"Guldbergsvej 12, st. th.",5000 Odense C,1400000.0,2023,59,2,1,Familiehandel
285,Morelvej 221,"Sanderum, 5250 Odense SV",1322500.0,2023,105,4,1,Familiehandel
